Date,Zip code,# in Group,# New,# Returns,Temperature,Weather
4/23/2016,11201,4,4,,,
4/23/2016,10036,4,4,,,
4/23/2016,10011,3,3,,,
4/23/2016,11229,2,2,,,
4/23/2016,11233,2,,2,,
4/23/2016,10012,2,2,,,
4/23/2016,11109,2,2,,,
4/23/2016,11201,5,,5,,
4/23/2016,11231,2,2,,,
4/23/2016,11212,4,4,,,
4/23/2016,11201,3,3,,,
4/23/2016,10038,2,2,,,
4/23/2016,11217,3,3,,,
4/23/2016,11231,3,,3,,
4/23/2016,10804,4,4,,,
4/23/2016,11212,2,2,,,
4/23/2016,10466,3,3,,,
4/23/2016,11201,2,2,,,
4/23/2016,11815,7,7,,,
4/23/2016,11225,3,3,,,
4/23/2016,10462,4,4,,,
4/23/2016,11375,1,1,,,
4/23/2016,10032,2,2,,,
4/23/2016,11230,3,3,,,
4/23/2016,11435,3,3,,,
4/23/2016,11372,3,3,,,
4/23/2016,11216,3,3,,,
4/23/2016,11201,3,3,,,
